序号,机构类型,机构名称,产品名称,贷款类型,名义年化利率,贴息后有效利率(2026),最高额度(万),最长期限(月),适用人群,核心特点,申请渠道,更新日期
1,国有大行,中国银行,中银E贷,消费贷,3.1%-4.2%,2.1%-3.2%,200,36,稳定就业+公积金,财政1%贴息·随借随还·线上秒批,中行App/小程序,2026.03
2,国有大行,中国银行,中银消费贷（信用卡贴息版）,消费贷,4.0%-12%,3.0%-11%,50,12,信用卡持卡人,信用卡账单纳入贴息范围,中行App,2026.03
3,国有大行,中国银行,中银惠农贷,消费贷,3.6%-5.5%,2.6%-4.5%,100,60,农村居民/新市民,涉农专项贴息·县域优先,农行掌银/柜台,2026.03
4,国有大行,工商银行,融e借,消费贷,3.0%-3.65%,2.0%-2.65%,200,60,代发工资客户,10分钟放款·白名单专享,工行App,2026.03
5,国有大行,工商银行,工银薪金贷,消费贷,3.2%-4.5%,2.2%-3.5%,50,36,工行代发工资客户,薪资流水直连审批,工行App/网银,2026.03
6,国有大行,工商银行,工银房抵贷,抵押贷,3.5%-5.0%,2.5%-4.0%,500,360,有房产客户,房产抵押·循环额度·LPR定价,工行网点/App,2026.03
7,国有大行,建设银行,快贷,消费贷,3.0%-3.55%,2.0%-2.55%,100,84,公积金客户,按日计息·84月超长期,建行App,2026.03
8,国有大行,建设银行,建易贷,消费贷,3.0%-3.4%,2.0%-2.4%,100,84,公积金+代发双重客户,利率最低之一·建行白名单,建行App,2026.03
9,国有大行,建设银行,惠懂你,经营贷,3.5%-5.0%,2.5%-4.0%,300,60,小微企业主/个体工商户,凭税务/发票秒批,建行App/小程序,2026.03
10,国有大行,农业银行,网捷贷,消费贷,3.2%-3.9%,2.2%-2.9%,150,36,纳税A级/代发客户,装修·教育·医疗专项贴息,农行掌银,2026.03
11,国有大行,农业银行,农行E贷,消费贷,3.2%-3.9%,2.2%-2.9%,80,60,新市民/县域居民,县域专属·新市民优惠,农行App,2026.03
12,国有大行,农业银行,农银惠农贷,经营贷,3.65%-5.5%,2.65%-4.5%,200,60,农业经营者,涉农经营专项补贴,农行网点/App,2026.03
13,国有大行,交通银行,惠民贷,消费贷,3.85%-5.5%,2.85%-4.5%,50,36,信用卡持卡人,买单吧直连·场景消费贴息,交行App,2026.03
14,国有大行,交通银行,交银房抵贷,抵押贷,3.6%-5.2%,2.6%-4.2%,300,360,有房产抵押客户,低利率·长周期·循环支用,交行网点,2026.03
15,国有大行,邮储银行,邮享贷,消费贷,3.1%-4.8%,2.1%-3.8%,100,60,邮储客户/农村居民,农村小微优先·邮储生态,邮储App,2026.03
16,国有大行,邮储银行,邮储经营贷,经营贷,3.5%-5.0%,2.5%-4.0%,100,60,农村小微企业,邮储农村网点覆盖广,邮储App/网点,2026.03
17,国有大行,邮储银行,极速贷,消费贷,3.3%-4.5%,2.3%-3.5%,30,36,在职人员/公积金用户,极速审批·1分钟到账,邮储App,2026.03
18,国有大行,中国银行,随心智贷,经营贷,3.2%-4.5%,2.2%-3.5%,200,60,小微业主,经营用途·税务数据驱动,中行App,2026.03
19,国有大行,工商银行,经营e贷,经营贷,3.1%-4.0%,2.1%-3.0%,300,84,个体工商户/小微企业,纳税A级优先·84月,工行App,2026.03
20,国有大行,建设银行,裕农快贷,经营贷,3.5%-5.5%,2.5%-4.5%,50,36,农村经营者,农村专项·无抵押信用贷,建行App/网点,2026.03
21,股份制,招商银行,闪电贷,消费贷,3.05%-4.0%,2.05%-3.0%,100,36,白领/代发工资,利率最低之一·秒批,招行App,2026.03
22,股份制,招商银行,拼命贷（公积金版）,消费贷,3.0%-3.6%,2.0%-2.6%,80,36,公积金缴纳客户,公积金加成·额度更高,招行App,2026.03
23,股份制,招商银行,经营贷（个人版）,经营贷,3.2%-4.5%,—,200,60,小微业主,招行经营专区·税务联动,招行App,2026.03
24,股份制,兴业银行,兴闪贷,消费贷,3.0%-4.5%,2.0%-3.5%,100,12,线上线下客户,3.0%起·短期周转首选,兴业App,2026.03
25,股份制,兴业银行,兴业经营贷,经营贷,3.3%-5.0%,2.3%-4.0%,200,60,小微企业主,兴业绿色金融加分,兴业App/网点,2026.03
26,股份制,浦发银行,浦银点贷,消费贷,3.45%-5.34%,2.45%-4.34%,80,36,浦发客户,秒批·浦发理财客户优惠,浦发App,2026.03
27,股份制,浦发银行,浦发闪贷,消费贷,3.5%-5.0%,2.5%-4.0%,80,36,浦发白金卡持卡人,白金卡专属利率优惠,浦发App,2026.03
28,股份制,广发银行,E秒贷,消费贷,3.45%-4.8%,2.45%-3.8%,100,60,灵活就业/在职人员,7年期最长·灵活还款,广发App,2026.03
29,股份制,中信银行,信秒贷,消费贷,4.35%-6.0%,3.35%-5.0%,50,36,中信理财/信用卡客户,秒批到账·中信系联动,中信App,2026.03
30,股份制,中信银行,中信e贷,消费贷,3.8%-5.5%,2.8%-4.5%,60,36,中信储蓄客户,理财资产加成,中信App,2026.03
31,股份制,平安银行,白领新一贷,消费贷,3.96%-9.72%,2.96%-8.72%,100,36,白领人群,好车好房联动定价,平安App,2026.03
32,股份制,平安银行,平安新一贷,消费贷,3.5%-6.0%,2.5%-5.0%,100,36,平安综合金融客户,保险/车险客户专项优惠,平安App,2026.03
33,股份制,平安银行,平安经营贷,经营贷,3.8%-6.0%,—,300,60,小微企业主,好车好房联动·额度高,平安App/网点,2026.03
34,股份制,光大银行,光速贷,消费贷,3.1%-4.5%,2.1%-3.5%,80,36,光大客户,光速审批·阳光惠民,光大App,2026.03
35,股份制,光大银行,光大阳光贷,消费贷,3.5%-5.5%,2.5%-4.5%,50,24,在职人员,场景消费专项贴息,光大App,2026.03
36,股份制,民生银行,民易贷,消费贷,3.2%-5.0%,2.2%-4.0%,80,60,民生理财/代发客户,民易到账·理财联动,民生App,2026.03
37,股份制,华夏银行,华夏闪贷,消费贷,3.4%-4.8%,2.4%-3.8%,50,36,华夏信用卡持卡人,闪电放款·卡片额度联动,华夏App,2026.03
38,股份制,浙商银行,浙银e贷,消费贷,3.0%-4.2%,2.0%-3.2%,100,60,浙商/浙江本地客户,浙江专项贴息,浙商App,2026.03
39,股份制,渤海银行,渤海快贷,消费贷,3.5%-5.5%,2.5%-4.5%,50,36,渤海存量客户,快速审核·天津优惠,渤海App,2026.03
40,股份制,恒丰银行,恒e贷,消费贷,3.4%-5.0%,2.4%-4.0%,60,36,恒丰储蓄客户,恒速审批,恒丰App,2026.03
41,城商行,北京银行,京e贷,消费贷,3.0%起,2.0%起,100,60,北京本地居民,北京财政专项贴息,北京银行App,2026.03
42,城商行,北京银行,京e经营贷,经营贷,3.0%-4.2%,2.0%-3.2%,150,60,北京小微企业,北京市小微补贴联动,北京银行App,2026.03
43,城商行,上海银行,沪e贷,消费贷,3.1%-4.0%,2.1%-3.0%,80,60,上海本地居民,上海财政贴息,上海银行App,2026.03
44,城商行,南京银行,宁e贷,消费贷,3.2%-4.5%,2.2%-3.5%,70,36,南京/江苏用户,江苏专项贴息·宁惠贷,南京银行App,2026.03
45,城商行,杭州银行,杭e贷,消费贷,3.0%-3.8%,2.0%-2.8%,90,60,杭州公积金用户,杭州市贴息+公积金加成,杭州银行App,2026.03
46,城商行,宁波银行,甬e贷,消费贷,3.1%-4.2%,2.1%-3.2%,70,36,宁波本地居民,浙江贴息+宁波专项,宁波银行App,2026.03
47,城商行,江苏银行,苏e贷,消费贷,3.0%-4.0%,2.0%-3.0%,90,60,江苏省居民,江苏省贴息联动,江苏银行App,2026.03
48,城商行,广州银行,穗e贷,消费贷,3.2%-4.5%,2.2%-3.5%,80,60,广州本地居民,广州市财政贴息,广州银行App,2026.03
49,城商行,成都银行,蓉e贷,消费贷,3.2%-4.5%,2.2%-3.5%,80,60,成都本地居民,成都市专项贴息,成都银行App,2026.03
50,城商行,重庆银行,渝e贷,消费贷,3.3%-4.8%,2.3%-3.8%,70,36,重庆本地居民,重庆市财政补贴,重庆银行App,2026.03
51,城商行,西安银行,长安贷,消费贷,3.4%-5.0%,2.4%-4.0%,60,36,陕西省居民,西安市场景消费贴息,西安银行App,2026.03
52,城商行,郑州银行,中原e贷,消费贷,3.5%-5.0%,2.5%-4.0%,60,36,河南省居民,河南省贴息,郑州银行App,2026.03
53,城商行,长沙银行,星沙贷,消费贷,3.3%-4.8%,2.3%-3.8%,80,60,湖南省居民,长沙市贴息联动,长沙银行App,2026.03
54,城商行,贵阳银行,贵e贷,消费贷,3.5%-5.2%,2.5%-4.2%,50,36,贵州省居民,贵州省专项补贴,贵阳银行App,2026.03
55,城商行,哈尔滨银行,龙e贷,消费贷,3.6%-5.5%,2.6%-4.5%,50,36,黑龙江省居民,东北振兴贴息政策,哈尔滨银行App,2026.03
56,农商行,重庆农商行,渝快贷,消费贷,3.15%-4.8%,2.15%-3.8%,80,36,重庆居民,重庆贴息·农村优先,重庆农商App,2026.03
57,农商行,昆明农信,个人综合消费贷,消费贷,3.05%起,2.05%起,100,84,云南省居民,7年期·购车装修,昆明农信App,2026.03
58,农商行,广州农商行,惠农贷,消费贷,3.2%-4.5%,2.2%-3.5%,80,60,广州农村居民,涉农专项贴息,广州农商App,2026.03
59,农商行,上海农商行,沪农快贷,消费贷,3.1%-4.2%,2.1%-3.2%,80,36,上海居民,上海贴息+农商生态,上海农商App,2026.03
60,农商行,北京农商行,京农快贷,消费贷,3.2%-4.5%,2.2%-3.5%,70,36,北京农村居民,北京市涉农贴息,北京农商App,2026.03
61,互联网银行,微众银行,微粒贷,消费贷,3.5%-18%,2.5%-17%,30,12,微信/QQ白名单用户,比价降息·邀请制·腾讯生态,微信/手机QQ,2026.03
62,互联网银行,微众银行,微业贷,经营贷,4.0%-12%,3.0%-11%,300,12,小微企业主,微信生态经营数据驱动,微信小程序,2026.03
63,互联网银行,网商银行,网商贷,经营贷,3.8%-12%,2.8%-11%,1000,12,淘宝/天猫/1688商家,电商流水驱动·最高1000万,支付宝,2026.03
64,互联网银行,网商银行,花呗分期,消费贷,10.8%-14.4%,9.8%-13.4%,5,24,支付宝活跃用户,场景消费贴息·芝麻分联动,支付宝,2026.03
65,互联网银行,网商银行,备用金,消费贷,7.2%-18%,6.2%-17%,5,1,支付宝活跃用户,日息模式·随用随还,支付宝,2026.03
66,互联网银行,新网银行,好人贷,消费贷,7.2%-24%,6.2%-23%,20,24,在职人员/白名单,线上极速·新网生态,新网银行App,2026.03
67,互联网银行,亿联银行,亿联快贷,消费贷,8.0%-24%,7.0%-23%,10,12,东北地区居民,东北互联网银行专属,亿联银行App,2026.03
68,互联网银行,苏宁银行,苏宁任性贷,消费贷,4.8%-18%,3.8%-17%,20,24,苏宁生态用户,苏宁购物场景贴息,苏宁App,2026.03
69,互联网银行,众邦银行,众e贷,消费贷,6.0%-18%,5.0%-17%,10,24,在职人员,湖北互联网银行专属,众邦银行App,2026.03
70,互联网银行,振兴银行,振兴快贷,消费贷,7.0%-18%,6.0%-17%,10,12,辽宁省居民,东北振兴专项,振兴银行App,2026.03
71,消费金融,蚂蚁消费金融,借呗,消费贷,3.96%-15%,2.96%-14%,30,24,芝麻分≥600用户,支付宝生态·芝麻分联动,支付宝,2026.03
72,消费金融,招联消费金融,好期贷,消费贷,6.9%-24%,5.9%-23%,30,60,一般用户,60期超长·招联系,招联App,2026.03
73,消费金融,马上消费金融,安逸花,消费贷,5.0%-18%,4.0%-17%,30,36,18-55岁在职,马上到账·重庆总部,马上金融App,2026.03
74,消费金融,中银消费金融,中银消费贷,消费贷,4.0%-15%,3.0%-14%,30,36,中行用户,中银系·利率相对低,中银消费App,2026.03
75,消费金融,兴业消费金融,兴业好贷,消费贷,4.5%-18%,3.5%-17%,30,24,一般用户,兴业系消费贷,兴业消费App,2026.03
76,消费金融,中邮消费金融,邮你贷,消费贷,4.8%-18%,3.8%-17%,20,36,邮储银行客户,邮储生态专属,中邮消费App,2026.03
77,消费金融,海尔消费金融,海尔贷,消费贷,7.2%-24%,6.2%-23%,10,24,海尔生态用户,家电场景贴息,海尔金融App,2026.03
78,消费金融,苏宁消费金融,苏宁易贷,消费贷,4.8%-15%,3.8%-14%,30,24,苏宁购物用户,苏宁生态联动,苏宁App,2026.03
79,消费金融,湖北消费金融,楚天贷,消费贷,7.2%-24%,6.2%-23%,10,24,湖北省居民,湖北本地专属,楚天App,2026.03
80,消费金融,北银消费金融,北银快贷,消费贷,6.0%-18%,5.0%-17%,20,36,北京居民,北京银行系消费金融,北银消费App,2026.03
81,互联网平台,京东消费金融,京东金条,消费贷,3.96%-15%,2.96%-14%,30,24,京东活跃用户,京东生态·购物贴息,京东App/微信,2026.03
82,互联网平台,京东消费金融,白条分期,消费贷,14.6%-19.8%,13.6%-18.8%,5,24,京东购物用户,购物场景专属,京东App,2026.03
83,互联网平台,度小满,有钱花,消费贷,7.2%-24%,6.2%-23%,20,24,百度系用户,百度生态·AI风控,度小满App,2026.03
84,互联网平台,360数科,360借条,消费贷,4.5%-18%,3.5%-17%,30,24,360生态用户,360大数据风控,360App,2026.03
85,互联网平台,乐信,分期乐,消费贷,11.0%-24%,10.0%-23%,20,24,年轻人群,年轻人首选·场景丰富,分期乐App,2026.03
86,互联网平台,维信金科,卡卡贷,消费贷,12.0%-24%,11.0%-23%,5,12,信用卡用户,信用卡额度联动,维信App,2026.03
87,互联网平台,小米金融,小米贷款,消费贷,7.2%-18%,6.2%-17%,10,12,小米生态用户,小米设备数据驱动,小米金融App,2026.03
88,互联网平台,美团金融,美团生活费,消费贷,7.2%-24%,6.2%-23%,5,12,美团活跃用户,外卖/酒店场景贴息,美团App,2026.03
89,互联网平台,滴滴金融,滴水贷,消费贷,7.2%-24%,6.2%-23%,10,12,滴滴司机/乘客,出行场景专属,滴滴App,2026.03
90,互联网平台,携程金融,拿去花,消费贷,7.2%-18%,6.2%-17%,5,12,携程用户,旅行场景贴息,携程App,2026.03
91,政策性银行,国家开发银行,开发贷（普惠版）,经营贷,3.0%-4.0%,2.0%-3.0%,500,120,国家重点项目/小微,政策性贷款·利率极低,开行网点,2026.03
92,政策性银行,中国农业发展银行,农发惠农贷,经营贷,3.2%-4.5%,2.2%-3.5%,200,60,农业企业/合作社,农业政策性贷款,农发行网点,2026.03
93,国有大行,中国银行,中银绿色贷,经营贷,2.8%-3.8%,1.8%-2.8%,500,120,绿色认证企业,绿色金融专项贴息·最低利率,中行网点/App,2026.03
94,国有大行,工商银行,工银绿贷,经营贷,2.9%-3.9%,1.9%-2.9%,500,120,碳中和/新能源项目,绿色经济专项补贴,工行网点,2026.03
95,股份制,招商银行,招行绿色贷,经营贷,3.0%-4.2%,2.0%-3.2%,300,84,绿色认证中小企业,ESG联动定价,招行网点/App,2026.03
96,国有大行,中国银行,中银E抵贷,抵押贷,3.5%-4.8%,2.5%-3.8%,500,360,有房产抵押客户,循环额度·随借随还,中行网点,2026.03
97,股份制,招商银行,招行e招贷（房抵）,抵押贷,3.3%-4.5%,2.3%-3.5%,500,300,有房产抵押客户,招行系最低抵押利率,招行网点,2026.03
98,股份制,平安银行,平安房抵贷,抵押贷,3.5%-5.5%,2.5%-4.5%,500,360,有房产抵押客户,好房联动·平安集团,平安网点/App,2026.03
99,城商行,北京银行,京抵贷,抵押贷,3.6%-5.0%,2.6%-4.0%,300,240,北京有房产客户,北京市贴息+抵押联动,北京银行网点,2026.03
100,股份制,浦发银行,浦发房抵贷,抵押贷,3.5%-5.2%,2.5%-4.2%,500,360,有房产抵押客户,浦发系·额度高,浦发网点,2026.03
